Status,Path,SizeBytes,ReferenceCount,ExampleReference,TopLevel
used,public/images/catalog/oando-seating--breeze/image-06.webp,25068,3,.\scripts\catalog-seating.json:948,images
used,public/images/catalog/oando-seating--breeze/image-07.webp,30536,3,.\scripts\catalog-seating.json:949,images
used,public/images/catalog/oando-seating--breeze/image-08.webp,10930,3,.\scripts\catalog-seating.json:950,images
used,public/images/catalog/oando-seating--breeze/image-09.webp,15490,3,.\scripts\catalog-seating.json:951,images
used,public/images/catalog/oando-seating--breeze/image-1.jpg,132784,4,.\data\site\localCatalogIndex.json:259,images
used,public/images/catalog/oando-seating--breeze/image-10.webp,10432,3,.\scripts\catalog-seating.json:952,images
used,public/images/catalog/oando-seating--breeze/image-11.webp,9636,3,.\scripts\catalog-seating.json:953,images
used,public/images/catalog/oando-seating--breeze/image-12.webp,21490,3,.\scripts\catalog-seating.json:954,images
used,public/images/catalog/oando-seating--breeze/image-2.jpg,129456,2,.\data\site\localCatalogIndex.json:260,images
used,public/images/catalog/oando-seating--breeze/image-3.jpg,63440,2,.\data\site\localCatalogIndex.json:261,images
used,public/images/catalog/oando-seating--breeze/image-4.jpg,60813,2,.\data\site\localCatalogIndex.json:262,images
used,public/images/catalog/oando-seating--breeze/image-5.jpg,152323,2,.\data\site\localCatalogIndex.json:263,images
used,public/images/catalog/oando-seating--brim/image-01.webp,15346,4,.\scripts\catalog-seating.json:1667,images
used,public/images/catalog/oando-seating--brim/image-02.webp,201226,2,.\scripts\catalog-seating.json:1668,images
used,public/images/catalog/oando-seating--brim/image-03.webp,11794,2,.\scripts\catalog-seating.json:1669,images
used,public/images/catalog/oando-seating--brim/image-04.webp,10892,2,.\scripts\catalog-seating.json:1670,images
unused,public/images/catalog/oando-seating--brim/image-05.webp,13532,0,,images
used,public/images/catalog/oando-seating--brim/image-06.webp,13506,2,.\scripts\catalog-seating.json:1671,images
used,public/images/catalog/oando-seating--brim/image-07.webp,298498,2,.\scripts\catalog-seating.json:1672,images
used,public/images/catalog/oando-seating--brim/image-08.webp,7326,2,.\scripts\catalog-seating.json:1673,images
used,public/images/catalog/oando-seating--brim/image-09.webp,9000,2,.\scripts\catalog-seating.json:1674,images
used,public/images/catalog/oando-seating--brim/image-10.webp,21346,2,.\scripts\catalog-seating.json:1675,images
used,public/images/catalog/oando-seating--brim/image-11.webp,17292,2,.\scripts\catalog-seating.json:1676,images
used,public/images/catalog/oando-seating--cafe-sleek/image-1.jpg,287429,3,.\scripts\arrange_supabase_catalog_assets.ts:87,images
used,public/images/catalog/oando-seating--canaret/image-01.webp,25640,4,.\scripts\catalog-seating.json:1619,images
used,public/images/catalog/oando-seating--canaret/image-02.webp,89298,2,.\scripts\catalog-seating.json:1620,images
used,public/images/catalog/oando-seating--canaret/image-03.webp,22556,2,.\scripts\catalog-seating.json:1621,images
used,public/images/catalog/oando-seating--canaret/image-04.webp,25016,2,.\scripts\catalog-seating.json:1622,images
used,public/images/catalog/oando-seating--canaret/image-05.webp,24318,2,.\scripts\catalog-seating.json:1623,images
used,public/images/catalog/oando-seating--canaret/image-06.webp,25490,2,.\scripts\catalog-seating.json:1624,images
used,public/images/catalog/oando-seating--canaret/image-07.webp,23334,2,.\scripts\catalog-seating.json:1625,images
used,public/images/catalog/oando-seating--canaret/image-08.webp,72778,2,.\scripts\catalog-seating.json:1626,images
used,public/images/catalog/oando-seating--canaret/image-09.webp,13946,2,.\scripts\catalog-seating.json:1627,images
used,public/images/catalog/oando-seating--canaret/image-1.jpg,59571,2,.\data\site\localCatalogIndex.json:2012,images
used,public/images/catalog/oando-seating--canaret/image-10.webp,20520,2,.\scripts\catalog-seating.json:1628,images
used,public/images/catalog/oando-seating--canaret/image-11.webp,60864,2,.\scripts\catalog-seating.json:1629,images
unused,public/images/catalog/oando-seating--canaret/image-12.webp,6894,0,,images
used,public/images/catalog/oando-seating--canaret/image-2.jpg,190314,1,.\data\site\localCatalogIndex.json:2013,images
used,public/images/catalog/oando-seating--canaret/image-3.jpg,55894,1,.\data\site\localCatalogIndex.json:2014,images
used,public/images/catalog/oando-seating--canaret/image-4.jpg,62313,1,.\data\site\localCatalogIndex.json:2015,images
used,public/images/catalog/oando-seating--canaret/image-5.jpg,56502,1,.\data\site\localCatalogIndex.json:2016,images
used,public/images/catalog/oando-seating--caneva-high/image-01.webp,56784,5,.\scripts\catalog-seating.json:2016,images
used,public/images/catalog/oando-seating--caneva-high/image-02.webp,328564,2,.\scripts\catalog-seating.json:2017,images
used,public/images/catalog/oando-seating--caneva-high/image-03.webp,58724,2,.\scripts\catalog-seating.json:2018,images
used,public/images/catalog/oando-seating--caneva-high/image-04.webp,61584,2,.\scripts\catalog-seating.json:2019,images
used,public/images/catalog/oando-seating--caneva-high/image-05.webp,31930,2,.\scripts\catalog-seating.json:2020,images
used,public/images/catalog/oando-seating--caneva-high/image-06.webp,62446,2,.\scripts\catalog-seating.json:2021,images
used,public/images/catalog/oando-seating--caneva-high/image-07.webp,340624,2,.\scripts\catalog-seating.json:2022,images
used,public/images/catalog/oando-seating--caneva-high/image-08.webp,75368,2,.\scripts\catalog-seating.json:2023,images
used,public/images/catalog/oando-seating--caneva-high/image-09.webp,20720,2,.\scripts\catalog-seating.json:2024,images
used,public/images/catalog/oando-seating--caneva-high/image-1.jpg,100796,2,.\data\site\localCatalogIndex.json:1798,images
used,public/images/catalog/oando-seating--caneva-high/image-10.webp,280884,2,.\scripts\catalog-seating.json:2025,images
unused,public/images/catalog/oando-seating--caneva-high/image-11.webp,30564,0,,images
unused,public/images/catalog/oando-seating--caneva-high/image-12.webp,10750,0,,images
used,public/images/catalog/oando-seating--caneva-high/image-2.jpg,690733,1,.\data\site\localCatalogIndex.json:1799,images
used,public/images/catalog/oando-seating--caneva-high/image-3.jpg,99915,1,.\data\site\localCatalogIndex.json:1800,images
